,Team ID,Team Name ,Year,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
1,1610612737,Atlanta Hawks,18,17,28.9,0.588,2.1,6.2,0.341,2.8,7,0.395,3.5,8.8,0.404,7.4,18.6,0.398,5.3,15.5,0.343,0,0.2,0.071,0,0.1,0.25,0,0.3,0
2,1610612738,Boston Celtics,18,15.7,27.4,0.572,3,8,0.377,2.9,7.4,0.396,4,9,0.444,5.5,13.7,0.401,7.1,19,0.375,0.1,0.3,0.211,0,0.1,0,0,0.3,0
3,1610612751,Brooklyn Nets,18,17.2,29,0.593,3.5,9.5,0.373,2.4,6,0.398,1.8,4.7,0.386,5.8,16.4,0.352,7.3,20.4,0.359,0.2,0.6,0.324,0,0.1,0.2,0,0.2,0
4,1610612766,Charlotte Hornets,18,16.8,28.1,0.597,3.7,9.5,0.389,3.4,8.1,0.423,4,10.5,0.375,4,11.1,0.364,7,18.6,0.376,0.1,0.4,0.222,0,0.1,0,0,0.3,0.038
5,1610612741,Chicago Bulls,18,16.1,28.1,0.574,3.7,9.2,0.4,2.6,7.1,0.373,3.5,8.9,0.387,6.1,16.1,0.377,6.6,19,0.349,0.1,0.2,0.25,0,0,0,0,0.2,0
6,1610612739,Cleveland Cavaliers,18,19,28.4,0.667,2.3,6.3,0.372,2.6,6.4,0.402,3.2,7.6,0.417,6.4,16.9,0.377,6.8,18.4,0.366,0.3,0.6,0.444,0,0.1,0.167,0,0.2,0
7,1610612742,Dallas Mavericks,18,15.2,25.1,0.606,2.9,7.1,0.403,2.9,7.6,0.385,3.9,9.4,0.411,6.5,16.6,0.395,6.7,19.5,0.341,0.1,0.4,0.182,0,0.1,0.25,0,0.3,0
8,1610612743,Denver Nuggets,18,19.4,31.8,0.611,3.9,9.7,0.4,3,6.6,0.45,2.2,5.6,0.393,5.9,15.3,0.386,6.2,17,0.367,0.1,0.3,0.278,0,0.1,0.4,0,0.3,0
9,1610612765,Detroit Pistons,18,16.8,28.5,0.589,3.6,10.1,0.357,3.2,7.5,0.42,3.7,9.1,0.41,5,13.1,0.379,6.8,18.1,0.377,0,0.2,0.25,0,0.1,0.2,0,0.3,0.043
10,1610612744,Golden State Warriors,18,17.5,26.1,0.67,2.6,6.1,0.431,4.7,9.7,0.487,5.3,11.3,0.469,4.9,11.6,0.423,7.7,19.6,0.391,0.1,0.4,0.29,0,0.1,0.2,0,0.3,0
11,1610612745,Houston Rockets,18,17.7,28.2,0.628,1.7,4.8,0.356,1.8,4.2,0.436,1.8,3.6,0.485,6.4,15.9,0.4,9.1,26.3,0.346,0.2,1.1,0.219,0,0.1,0,0,0.2,0.05
12,1610612754,Indiana Pacers,18,17.9,29.5,0.608,3.2,7.6,0.414,2.9,6.4,0.458,5.9,14,0.42,5,12.1,0.413,5.9,16.3,0.362,0.1,0.3,0.182,0,0.1,0,0,0.3,0
13,1610612746,LA Clippers,18,21.6,35.2,0.614,3.2,8.5,0.376,2.5,5.8,0.431,2.6,6.6,0.389,4.6,12.8,0.36,5.7,16,0.356,0,0.3,0.15,0,0,0,0,0.2,0.118
14,1610612747,Los Angeles Lakers,18,21.6,34.7,0.622,3.2,8.5,0.375,2.1,6.1,0.345,3,7.6,0.393,4.2,11.5,0.364,6.7,19.5,0.341,0,0.3,0.15,0,0,0,0,0.3,0
15,1610612763,Memphis Grizzlies,18,17.4,29.9,0.583,2.6,7.5,0.354,2.6,6.9,0.382,3,7.8,0.385,4.9,13.3,0.366,6.1,16.9,0.363,0.1,0.2,0.308,0,0.1,0,0,0.4,0.031
16,1610612748,Miami Heat,18,18.3,29.7,0.615,3.2,8.1,0.395,2.6,6.8,0.384,2.8,7.5,0.378,5.7,15.2,0.374,6.2,17.5,0.354,0,0.3,0.111,0,0.1,0,0,0.2,0
17,1610612749,Milwaukee Bucks,18,19.1,30.5,0.627,3.2,7.8,0.406,3.4,7.5,0.455,4.1,9.7,0.429,4.5,11.7,0.382,5.4,15.5,0.349,0,0.2,0,0,0.1,0,0,0.2,0
18,1610612750,Minnesota Timberwolves,18,18,28.1,0.64,5.1,11.6,0.436,4.1,9.2,0.443,4.1,10.5,0.391,5.5,13.7,0.402,4.2,12.2,0.342,0.1,0.6,0.174,0,0.1,0.333,0,0.2,0
19,1610612740,New Orleans Pelicans,18,20.1,31.6,0.637,4.7,10.2,0.462,3.2,7.3,0.44,3.1,7.6,0.407,5.8,14.9,0.392,5.6,16.3,0.347,0.1,0.2,0.267,0,0.1,0,0,0.2,0.063
20,1610612752,New York Knicks,18,17.6,28.9,0.609,3.9,9.3,0.417,4.4,9.9,0.444,4.4,11.1,0.397,5.2,12.7,0.405,5.2,15.2,0.343,0,0.3,0.1,0,0,0,0,0.3,0
21,1610612760,Oklahoma City Thunder,18,18.6,30.8,0.606,2.2,5.5,0.401,3,7.4,0.405,4,10.4,0.383,6.5,17.5,0.369,5.6,15.7,0.353,0,0.3,0.105,0,0.2,0,0,0.3,0
22,1610612753,Orlando Magic,18,17.8,28.1,0.633,3.6,9.5,0.379,2.7,7.5,0.357,3.2,8.3,0.39,4.4,11.8,0.371,7,20.1,0.35,0.1,0.3,0.176,0,0.1,0,0,0.2,0.071
23,1610612755,Philadelphia 76ers,18,19,29.4,0.647,3.4,8.7,0.386,3,7.9,0.38,3,7.2,0.412,4.6,11.3,0.404,7.9,21.6,0.365,0.1,0.3,0.412,0,0.1,0,0,0.2,0
24,1610612756,Phoenix Suns,18,18.7,31.7,0.589,3.1,8.2,0.373,3.5,8.6,0.409,3.1,8.1,0.383,4.6,13.2,0.35,5.5,16.7,0.328,0.1,0.5,0.121,0,0.1,0,0,0.2,0
25,1610612757,Portland Trail Blazers,18,16.9,29.6,0.568,3.3,8.5,0.393,3.5,7.9,0.441,3.8,9,0.417,5.6,14.9,0.378,6.1,16.5,0.37,0.2,0.7,0.279,0,0,0,0,0,0
26,1610612758,Sacramento Kings,18,15.6,26.3,0.594,4.8,12.2,0.39,3.1,8,0.387,4.6,11.5,0.403,5.8,14.6,0.399,4.8,13,0.372,0,0.2,0.167,0,0.2,0,0,0.4,0.032
27,1610612759,San Antonio Spurs,18,16.5,26.7,0.619,4.1,10.1,0.402,4.2,10.2,0.412,4.4,10.5,0.416,5.3,13.8,0.384,4.6,13.6,0.336,0,0.2,0.182,0,0.1,0,0,0.3,0
28,1610612761,Toronto Raptors,18,19.7,31.1,0.634,3.4,8.3,0.406,3,7.1,0.422,2.7,6.2,0.44,5.5,14.7,0.375,6.9,19.3,0.355,0.1,0.5,0.167,0,0.1,0,0,0.3,0.042
29,1610612762,Utah Jazz,18,17.7,28.4,0.623,2.8,7.6,0.365,2.7,6.9,0.396,3,7.5,0.4,6.3,16.5,0.384,5.6,15.3,0.368,0.1,0.3,0.167,0,0.1,0.143,0,0.2,0
30,1610612764,Washington Wizards,18,15.9,25.6,0.621,3.7,8.8,0.425,4.2,9.7,0.434,4.9,11.6,0.421,4.5,11.9,0.382,6.6,17.5,0.375,0.1,0.2,0.333,0,0.1,0,0,0.2,0
